#
#  Unified Canadian Aboriginal Syllabics:  U+1400 - U+167F
#
#  UCAS has 85 consonant base families
#
#  UCAS has 18 vowel forms:
#
#     E   EE   A   AA  AI  AAI  I  II    O   OO 
#    WE  WEE  WA  WAA          WI  WII  WO  WOO
#
1401;  CANADIAN SYLLABICS E;  1401; 1;  ;  E;  ; 
146C;  CANADIAN SYLLABICS KAAI;  146B; 2;  K;  AAI;  ; 
146D;  CANADIAN SYLLABICS KI;  146B; 3;  K;  I;  ; 
146E;  CANADIAN SYLLABICS KII;  146B; 4;  K;  II;  ; 
146F;  CANADIAN SYLLABICS KO;  146B; 5;  K;  O;  ; 
1470;  CANADIAN SYLLABICS KOO;  146B; 6;  K;  OO;  ; 
1471;  CANADIAN SYLLABICS Y-CREE KOO;  146B; 7;  K;  OO;  ; 
1472;  CANADIAN SYLLABICS KA;  146B; 8;  K;  A;  ; 
1473;  CANADIAN SYLLABICS KAA;  146B; 9;  K;  AA;  ; 
1474;  CANADIAN SYLLABICS KWE;  146B; 10;  K;  WE;  ; 
1475;  CANADIAN SYLLABICS WEST-CREE KWE;  146B; 11;  K;  WE;  ; 
1476;  CANADIAN SYLLABICS KWI;  146B; 12;  K;  WI;  ; 
1477;  CANADIAN SYLLABICS WEST-CREE KWI;  146B; 13;  K;  WI;  ; 
1478;  CANADIAN SYLLABICS KWII;  146B; 14;  K;  WII;  ; 
1479;  CANADIAN SYLLABICS WEST-CREE KWII;  146B; 15;  K;  WII;  ; 
147A;  CANADIAN SYLLABICS KWO;  146B; 16;  K;  WO;  ; 
147B;  CANADIAN SYLLABICS WEST-CREE KWO;  146B; 17;  K;  WO;  ; 
147C;  CANADIAN SYLLABICS KWOO;  146B; 18;  K;  WOO;  ; 
147D;  CANADIAN SYLLABICS WEST-CREE KWOO;  146B; 19;  K;  WOO;  ; 
147E;  CANADIAN SYLLABICS KWA;  146B; 20;  K;  WA;  ; 
147F;  CANADIAN SYLLABICS WEST-CREE KWA;  146B; 21;  K;  WA;  ; 
1480;  CANADIAN SYLLABICS KWAA;  146B; 22;  K;  WAA;  ; 
1481;  CANADIAN SYLLABICS WEST-CREE KWAA;  146B; 23;  K;  WAA;  ; 
1482;  CANADIAN SYLLABICS NASKAPI KWAA;  146B; 24;  K;  WAA;  ; 
1483;  CANADIAN SYLLABICS K;  146B; 25;  K;  ;  ; 
1484;  CANADIAN SYLLABICS KW;  146B; 26;  K;  W;  ; 
1485;  CANADIAN SYLLABICS SOUTH-SLAVEY KEH;  146B; 27;  K;  ;  ; 
1486;  CANADIAN SYLLABICS SOUTH-SLAVEY KIH;  146B; 28;  K;  ;  ; 
1487;  CANADIAN SYLLABICS SOUTH-SLAVEY KOH;  146B; 29;  K;  ;  ; 
1488;  CANADIAN SYLLABICS SOUTH-SLAVEY KAH;  146B; 30;  K;  ;  ; 
1489;  CANADIAN SYLLABICS CE;  1489; 1;  C;  E;  ; 
148A;  CANADIAN SYLLABICS CAAI;  1489; 2;  C;  AAI;  ; 
148B;  CANADIAN SYLLABICS CI;  1489; 3;  C;  I;  ; 
148C;  CANADIAN SYLLABICS CII;  1489; 4;  C;  II;  ; 
148D;  CANADIAN SYLLABICS CO;  1489; 5;  C;  O;  ; 
148E;  CANADIAN SYLLABICS COO;  1489; 6;  C;  OO;  ; 
148F;  CANADIAN SYLLABICS Y-CREE COO;  1489; 7;  C;  OO;  ; 
1490;  CANADIAN SYLLABICS CA;  1489; 8;  C;  A;  ; 
1491;  CANADIAN SYLLABICS CAA;  1489; 9;  C;  AA;  ; 
1492;  CANADIAN SYLLABICS CWE;  1489; 10;  C;  WE;  ; 
1493;  CANADIAN SYLLABICS WEST-CREE CWE;  1489; 11;  C;  WE;  ; 
1494;  CANADIAN SYLLABICS CWI;  1489; 12;  C;  WI;  ; 
1495;  CANADIAN SYLLABICS WEST-CREE CWI;  1489; 13;  C;  WI;  ; 
1496;  CANADIAN SYLLABICS CWII;  1489; 14;  C;  WII;  ; 
1497;  CANADIAN SYLLABICS WEST-CREE CWII;  1489; 15;  C;  WII;  ; 
1498;  CANADIAN SYLLABICS CWO;  1489; 16;  C;  WO;  ; 
1499;  CANADIAN SYLLABICS WEST-CREE CWO;  1489; 17;  C;  WO;  ; 
149A;  CANADIAN SYLLABICS CWOO;  1489; 18;  C;  WOO;  ; 
149B;  CANADIAN SYLLABICS WEST-CREE CWOO;  1489; 19;  C;  WOO;  ; 
149C;  CANADIAN SYLLABICS CWA;  1489; 20;  C;  WA;  ; 
149D;  CANADIAN SYLLABICS WEST-CREE CWA;  1489; 21;  C;  WA;  ; 
149E;  CANADIAN SYLLABICS CWAA;  1489; 22;  C;  WAA;  ; 
149F;  CANADIAN SYLLABICS WEST-CREE CWAA;  1489; 23;  C;  WAA;  ; 
14A0;  CANADIAN SYLLABICS NASKAPI CWAA;  1489; 24;  C;  WAA;  ; 
14A1;  CANADIAN SYLLABICS C;  1489; 25;  C;  ;  ; 
14A2;  CANADIAN SYLLABICS SAYISI TH;  14A2; 1;  TH;  ;  ; 
14A3;  CANADIAN SYLLABICS ME;  14A3; 1;  M;  E;  ; 
14A4;  CANADIAN SYLLABICS MAAI;  14A3; 2;  M;  AAI;  ; 
14A5;  CANADIAN SYLLABICS MI;  14A3; 3;  M;  I;  ; 
14A6;  CANADIAN SYLLABICS MII;  14A3; 4;  M;  II;  ; 
14A7;  CANADIAN SYLLABICS MO;  14A3; 5;  M;  O;  ; 
14A8;  CANADIAN SYLLABICS MOO;  14A3; 6;  M;  OO;  ; 
14A9;  CANADIAN SYLLABICS Y-CREE MOO;  14A3; 7;  M;  OO;  ; 
14AA;  CANADIAN SYLLABICS MA;  14A3; 8;  M;  A;  ; 
14AB;  CANADIAN SYLLABICS MAA;  14A3; 9;  M;  AA;  ; 
14AC;  CANADIAN SYLLABICS MWE;  14A3; 10;  M;  WE;  ; 
14AD;  CANADIAN SYLLABICS WEST-CREE MWE;  14A3; 11;  M;  WE;  ; 
14AE;  CANADIAN SYLLABICS MWI;  14A3; 12;  M;  WI;  ; 
14AF;  CANADIAN SYLLABICS WEST-CREE MWI;  14A3; 13;  M;  WI;  ; 
14B0;  CANADIAN SYLLABICS MWII;  14A3; 14;  M;  WII;  ; 
14B1;  CANADIAN SYLLABICS WEST-CREE MWII;  14A3; 15;  M;  WII;  ; 
14B2;  CANADIAN SYLLABICS MWO;  14A3; 16;  M;  WO;  ; 
14B3;  CANADIAN SYLLABICS WEST-CREE MWO;  14A3; 17;  M;  WO;  ; 
14B4;  CANADIAN SYLLABICS MWOO;  14A3; 18;  M;  WOO;  ; 
14B5;  CANADIAN SYLLABICS WEST-CREE MWOO;  14A3; 19;  M;  WOO;  ; 
14B6;  CANADIAN SYLLABICS MWA;  14A3; 20;  M;  WA;  ; 
14B7;  CANADIAN SYLLABICS WEST-CREE MWA;  14A3; 21;  M;  WA;  ; 
14B8;  CANADIAN SYLLABICS MWAA;  14A3; 22;  M;  WAA;  ; 
14B9;  CANADIAN SYLLABICS WEST-CREE MWAA;  14A3; 23;  M;  WAA;  ; 
14BA;  CANADIAN SYLLABICS NASKAPI MWAA;  14A3; 24;  M;  WAA;  ; 
14BB;  CANADIAN SYLLABICS M;  14A3; 25;  M;  ;  ; 
14BC;  CANADIAN SYLLABICS WEST-CREE M;  14A3; 26;  M;  ;  ; 
14BD;  CANADIAN SYLLABICS MH;  14BD; 1;  MH;  ;  ; 
14BE;  CANADIAN SYLLABICS ATHAPASCAN M;  14BE; 1;  M;  ;  ; 
14BF;  CANADIAN SYLLABICS SAYISI M;  14BE; 2;  M;  ;  ; 
14C0;  CANADIAN SYLLABICS NE;  14C0; 1;  N;  E;  ; 
14C1;  CANADIAN SYLLABICS NAAI;  14C0; 2;  N;  AAI;  ; 
14C2;  CANADIAN SYLLABICS NI;  14C0; 3;  N;  I;  ; 
14C3;  CANADIAN SYLLABICS NII;  14C0; 4;  N;  II;  ; 
14C4;  CANADIAN SYLLABICS NO;  14C0; 5;  N;  O;  ; 
14C5;  CANADIAN SYLLABICS NOO;  14C0; 6;  N;  OO;  ; 
14C6;  CANADIAN SYLLABICS Y-CREE NOO;  14C0; 7;  N;  OO;  ; 
14C7;  CANADIAN SYLLABICS NA;  14C0; 8;  N;  A;  ; 
14C8;  CANADIAN SYLLABICS NAA;  14C0; 9;  N;  AA;  ; 
14C9;  CANADIAN SYLLABICS NWE;  14C0; 10;  N;  WE;  ; 
14CA;  CANADIAN SYLLABICS WEST-CREE NWE;  14C0; 11;  N;  WE;  ; 
14CB;  CANADIAN SYLLABICS NWA;  14C0; 12;  N;  WA;  ; 
14CC;  CANADIAN SYLLABICS WEST-CREE NWA;  14C0; 13;  N;  WA;  ; 
14CD;  CANADIAN SYLLABICS NWAA;  14C0; 14;  N;  WAA;  ; 
14CE;  CANADIAN SYLLABICS WEST-CREE NWAA;  14C0; 15;  N;  WAA;  ; 
14CF;  CANADIAN SYLLABICS NASKAPI NWAA;  14C0; 16;  N;  WAA;  ; 
14D0;  CANADIAN SYLLABICS N;  14C0; 17;  N;  ;  ; 
14D1;  CANADIAN SYLLABICS CARRIER NG;  14D1; 1;  NG;  ;  ; 
14D2;  CANADIAN SYLLABICS NH;  14D2; 1;  NH;  ;  ; 
14D3;  CANADIAN SYLLABICS LE;  14D3; 1;  L;  E;  ; 
14D4;  CANADIAN SYLLABICS LAAI;  14D3; 2;  L;  AAI;  ; 
14D5;  CANADIAN SYLLABICS LI;  14D3; 3;  L;  I;  ; 
14D6;  CANADIAN SYLLABICS LII;  14D3; 4;  L;  II;  ; 
14D7;  CANADIAN SYLLABICS LO;  14D3; 5;  L;  O;  ; 
14D8;  CANADIAN SYLLABICS LOO;  14D3; 6;  L;  OO;  ; 
14D9;  CANADIAN SYLLABICS Y-CREE LOO;  14D3; 7;  L;  OO;  ; 
14DA;  CANADIAN SYLLABICS LA;  14D3; 8;  L;  A;  ; 
14DB;  CANADIAN SYLLABICS LAA;  14D3; 9;  L;  AA;  ; 
14DC;  CANADIAN SYLLABICS LWE;  14D3; 10;  L;  WE;  ; 
14DD;  CANADIAN SYLLABICS WEST-CREE LWE;  14D3; 11;  L;  WE;  ; 
14DE;  CANADIAN SYLLABICS LWI;  14D3; 12;  L;  WI;  ; 
14DF;  CANADIAN SYLLABICS WEST-CREE LWI;  14D3; 13;  L;  WI;  ; 
14E0;  CANADIAN SYLLABICS LWII;  14D3; 14;  L;  WII;  ; 
14E1;  CANADIAN SYLLABICS WEST-CREE LWII;  14D3; 15;  L;  WII;  ; 
14E2;  CANADIAN SYLLABICS LWO;  14D3; 16;  L;  WO;  ; 
14E3;  CANADIAN SYLLABICS WEST-CREE LWO;  14D3; 17;  L;  WO;  ; 
14E4;  CANADIAN SYLLABICS LWOO;  14D3; 18;  L;  WOO;  ; 
14E5;  CANADIAN SYLLABICS WEST-CREE LWOO;  14D3; 19;  L;  WOO;  ; 
14E6;  CANADIAN SYLLABICS LWA;  14D3; 20;  L;  WA;  ; 
14E7;  CANADIAN SYLLABICS WEST-CREE LWA;  14D3; 21;  L;  WA;  ; 
14E8;  CANADIAN SYLLABICS LWAA;  14D3; 22;  L;  WAA;  ; 
14E9;  CANADIAN SYLLABICS WEST-CREE LWAA;  14D3; 23;  L;  WAA;  ; 
14EA;  CANADIAN SYLLABICS L;  14D3; 24;  L;  ;  ; 
14EB;  CANADIAN SYLLABICS WEST-CREE L;  14D3; 25;  L;  ;  ; 
14EC;  CANADIAN SYLLABICS MEDIAL L;  14D3; 26;  L;  ;  ; 
14ED;  CANADIAN SYLLABICS SE;  14ED; 1;  S;  E;  ; 
14EE;  CANADIAN SYLLABICS SAAI;  14ED; 2;  S;  AAI;  ; 
14EF;  CANADIAN SYLLABICS SI;  14ED; 3;  S;  I;  ; 
14F0;  CANADIAN SYLLABICS SII;  14ED; 4;  S;  II;  ; 
14F1;  CANADIAN SYLLABICS SO;  14ED; 5;  S;  O;  ; 
14F2;  CANADIAN SYLLABICS SOO;  14ED; 6;  S;  OO;  ; 
14F3;  CANADIAN SYLLABICS Y-CREE SOO;  14ED; 7;  S;  OO;  ; 
14F4;  CANADIAN SYLLABICS SA;  14ED; 8;  S;  A;  ; 
14F5;  CANADIAN SYLLABICS SAA;  14ED; 9;  S;  AA;  ; 
14F6;  CANADIAN SYLLABICS SWE;  14ED; 10;  S;  WE;  ; 
14F7;  CANADIAN SYLLABICS WEST-CREE SWE;  14ED; 11;  S;  WE;  ; 
14F8;  CANADIAN SYLLABICS SWI;  14ED; 12;  S;  WI;  ; 
14F9;  CANADIAN SYLLABICS WEST-CREE SWI;  14ED; 13;  S;  WI;  ; 
14FA;  CANADIAN SYLLABICS SWII;  14ED; 14;  S;  WII;  ; 
14FB;  CANADIAN SYLLABICS WEST-CREE SWII;  14ED; 15;  S;  WII;  ; 
14FC;  CANADIAN SYLLABICS SWO;  14ED; 16;  S;  WO;  ; 
14FD;  CANADIAN SYLLABICS WEST-CREE SWO;  14ED; 17;  S;  WO;  ; 
14FE;  CANADIAN SYLLABICS SWOO;  14ED; 18;  S;  WOO;  ; 
14FF;  CANADIAN SYLLABICS WEST-CREE SWOO;  14ED; 19;  S;  WOO;  ; 
1500;  CANADIAN SYLLABICS SWA;  14ED; 20;  S;  WA;  ; 
1501;  CANADIAN SYLLABICS WEST-CREE SWA;  14ED; 21;  S;  WA;  ; 
1502;  CANADIAN SYLLABICS SWAA;  14ED; 22;  S;  WAA;  ; 
1503;  CANADIAN SYLLABICS WEST-CREE SWAA;  14ED; 23;  S;  WAA;  ; 
1504;  CANADIAN SYLLABICS NASKAPI SWAA;  14ED; 24;  S;  WAA;  ; 
1505;  CANADIAN SYLLABICS S;  14ED; 25;  S;  ;  ; 
1506;  CANADIAN SYLLABICS ATHAPASCAN S;  14ED; 26;  S;  ;  ; 
1507;  CANADIAN SYLLABICS SW;  14ED; 27;  S;  W;  ; 
1508;  CANADIAN SYLLABICS BLACKFOOT S;  14ED; 28;  S;  ;  ; 
1509;  CANADIAN SYLLABICS MOOSE-CREE SK;  1509; 1;  SK;  ;  ; 
150A;  CANADIAN SYLLABICS NASKAPI SKW;  1509; 2;  SK;  ;  ; 
150B;  CANADIAN SYLLABICS NASKAPI S-W;  150B; 1;  S;  W;  ; 
150C;  CANADIAN SYLLABICS NASKAPI SPWA;  150C; 1;  SP;  WA;  ; 
150D;  CANADIAN SYLLABICS NASKAPI STWA;  150D; 1;  ST;  WA;  ; 
150E;  CANADIAN SYLLABICS NASKAPI SKWA;  150E; 1;  SK;  WA;  ; 
150F;  CANADIAN SYLLABICS NASKAPI SCWA;  150F; 1;  SC;  WA;  ; 
1510;  CANADIAN SYLLABICS SHE;  1510; 1;  SH;  E;  ; 
1511;  CANADIAN SYLLABICS SHI;  1510; 2;  SH;  I;  ; 
1512;  CANADIAN SYLLABICS SHII;  1510; 3;  SH;  II;  ; 
1513;  CANADIAN SYLLABICS SHO;  1510; 4;  SH;  O;  ; 
1514;  CANADIAN SYLLABICS SHOO;  1510; 5;  SH;  OO;  ; 
1515;  CANADIAN SYLLABICS SHA;  1510; 6;  SH;  A;  ; 
1516;  CANADIAN SYLLABICS SHAA;  1510; 7;  SH;  AA;  ; 
1517;  CANADIAN SYLLABICS SHWE;  1510; 8;  SH;  WE;  ; 
1518;  CANADIAN SYLLABICS WEST-CREE SHWE;  1510; 9;  SH;  WE;  ; 
1519;  CANADIAN SYLLABICS SHWI;  1510; 10;  SH;  WI;  ; 
151A;  CANADIAN SYLLABICS WEST-CREE SHWI;  1510; 11;  SH;  WI;  ; 
151B;  CANADIAN SYLLABICS SHWII;  1510; 12;  SH;  WII;  ; 
151C;  CANADIAN SYLLABICS WEST-CREE SHWII;  1510; 13;  SH;  WII;  ; 
151D;  CANADIAN SYLLABICS SHWO;  1510; 14;  SH;  WO;  ; 
151E;  CANADIAN SYLLABICS WEST-CREE SHWO;  1510; 15;  SH;  WO;  ; 
151F;  CANADIAN SYLLABICS SHWOO;  1510; 16;  SH;  WOO;  ; 
1520;  CANADIAN SYLLABICS WEST-CREE SHWOO;  1510; 17;  SH;  WOO;  ; 
1521;  CANADIAN SYLLABICS SHWA;  1510; 18;  SH;  WA;  ; 
1522;  CANADIAN SYLLABICS WEST-CREE SHWA;  1510; 19;  SH;  WA;  ; 
1523;  CANADIAN SYLLABICS SHWAA;  1510; 20;  SH;  WAA;  ; 
1524;  CANADIAN SYLLABICS WEST-CREE SHWAA;  1510; 21;  SH;  WAA;  ; 
1525;  CANADIAN SYLLABICS SH;  1510; 22;  SH;  ;  ; 
1526;  CANADIAN SYLLABICS YE;  1526; 1;  Y;  E;  ; 
1527;  CANADIAN SYLLABICS YAAI;  1526; 2;  Y;  AAI;  ; 
1528;  CANADIAN SYLLABICS YI;  1526; 3;  Y;  I;  ; 
1529;  CANADIAN SYLLABICS YII;  1526; 4;  Y;  II;  ; 
152A;  CANADIAN SYLLABICS YO;  1526; 5;  Y;  O;  ; 
152B;  CANADIAN SYLLABICS YOO;  1526; 6;  Y;  OO;  ; 
152C;  CANADIAN SYLLABICS Y-CREE YOO;  1526; 7;  Y;  OO;  ; 
152D;  CANADIAN SYLLABICS YA;  1526; 8;  Y;  A;  ; 
152E;  CANADIAN SYLLABICS YAA;  1526; 9;  Y;  AA;  ; 
152F;  CANADIAN SYLLABICS YWE;  1526; 10;  Y;  WE;  ; 
1530;  CANADIAN SYLLABICS WEST-CREE YWE;  1526; 11;  Y;  WE;  ; 
1531;  CANADIAN SYLLABICS YWI;  1526; 12;  Y;  WI;  ; 
1532;  CANADIAN SYLLABICS WEST-CREE YWI;  1526; 13;  Y;  WI;  ; 
1533;  CANADIAN SYLLABICS YWII;  1526; 14;  Y;  WII;  ; 
1534;  CANADIAN SYLLABICS WEST-CREE YWII;  1526; 15;  Y;  WII;  ; 
1535;  CANADIAN SYLLABICS YWO;  1526; 16;  Y;  WO;  ; 
1536;  CANADIAN SYLLABICS WEST-CREE YWO;  1526; 17;  Y;  WO;  ; 
1537;  CANADIAN SYLLABICS YWOO;  1526; 18;  Y;  WOO;  ; 
1538;  CANADIAN SYLLABICS WEST-CREE YWOO;  1526; 19;  Y;  WOO;  ; 
1539;  CANADIAN SYLLABICS YWA;  1526; 20;  Y;  WA;  ; 
153A;  CANADIAN SYLLABICS WEST-CREE YWA;  1526; 21;  Y;  WA;  ; 
153B;  CANADIAN SYLLABICS YWAA;  1526; 22;  Y;  WAA;  ; 
153C;  CANADIAN SYLLABICS WEST-CREE YWAA;  1526; 23;  Y;  WAA;  ; 
153D;  CANADIAN SYLLABICS NASKAPI YWAA;  1526; 24;  Y;  WAA;  ; 
153E;  CANADIAN SYLLABICS Y;  1526; 25;  Y;  ;  ; 
153F;  CANADIAN SYLLABICS BIBLE-CREE Y;  1526; 26;  Y;  ;  ; 
1540;  CANADIAN SYLLABICS WEST-CREE Y;  1526; 27;  Y;  ;  ; 
1541;  CANADIAN SYLLABICS SAYISI YI;  1526; 28;  Y;  I;  ; 
1542;  CANADIAN SYLLABICS RE;  1542; 1;  R;  E;  ; 
1543;  CANADIAN SYLLABICS R-CREE RE;  1542; 2;  R;  E;  ; 
1544;  CANADIAN SYLLABICS WEST-CREE LE;  1544; 1;  L;  E;  ; 
1545;  CANADIAN SYLLABICS RAAI;  1545; 1;  R;  AAI;  ; 
1546;  CANADIAN SYLLABICS RI;  1545; 2;  R;  I;  ; 
1547;  CANADIAN SYLLABICS RII;  1545; 3;  R;  II;  ; 
1548;  CANADIAN SYLLABICS RO;  1545; 4;  R;  O;  ; 
1549;  CANADIAN SYLLABICS ROO;  1545; 5;  R;  OO;  ; 
154A;  CANADIAN SYLLABICS WEST-CREE LO;  154A; 1;  L;  O;  ; 
