#
#  Unified Canadian Aboriginal Syllabics:  U+1400 - U+167F
#
#  UCAS has 85 consonant base families in 21 vowles and 21 forms.
#
#  UCAS has:
#    85 syllabic classes in 21 forms.
#    44 consonant bases in 22 vowels.
#
1401;  CANADIAN SYLLABICS E;  1401;  1;  ;  e;  
146D;  CANADIAN SYLLABICS KI;  146B;  3;  k;  i;  
146E;  CANADIAN SYLLABICS KII;  146B;  4;  k;  i<02D0>;  
146F;  CANADIAN SYLLABICS KO;  146B;  5;  k;  o;  
1470;  CANADIAN SYLLABICS KOO;  146B;  6;  k;  o<02D0>;  
1471;  CANADIAN SYLLABICS Y-CREE KOO;  146B;  6;  k;  o<02D0>;  
1472;  CANADIAN SYLLABICS KA;  146B;  7;  k;  a;  
1473;  CANADIAN SYLLABICS KAA;  146B;  8;  k;  a<02D0>;  
1474;  CANADIAN SYLLABICS KWE;  146B;  9;  k;  <02B7>e;  
1475;  CANADIAN SYLLABICS WEST-CREE KWE;  146B;  9;  k;  <02B7>e;  
1476;  CANADIAN SYLLABICS KWI;  146B;  10;  k;  <02B7>i;  
1477;  CANADIAN SYLLABICS WEST-CREE KWI;  146B;  10;  k;  <02B7>i;  
1478;  CANADIAN SYLLABICS KWII;  146B;  11;  k;  <02B7>i<02D0>;  
1479;  CANADIAN SYLLABICS WEST-CREE KWII;  146B;  11;  k;  <02B7>i<02D0>;  
147A;  CANADIAN SYLLABICS KWO;  146B;  12;  k;  <02B7>o;  
147B;  CANADIAN SYLLABICS WEST-CREE KWO;  146B;  12;  k;  <02B7>o;  
147C;  CANADIAN SYLLABICS KWOO;  146B;  13;  k;  <02B7>o<02D0>;  
147D;  CANADIAN SYLLABICS WEST-CREE KWOO;  146B;  13;  k;  <02B7>o<02D0>;  
147E;  CANADIAN SYLLABICS KWA;  146B;  14;  k;  <02B7>a;  
147F;  CANADIAN SYLLABICS WEST-CREE KWA;  146B;  14;  k;  <02B7>a;  
1480;  CANADIAN SYLLABICS KWAA;  146B;  15;  k;  <02B7>a<02D0>;  
1481;  CANADIAN SYLLABICS WEST-CREE KWAA;  146B;  15;  k;  <02B7>a<02D0>;  
1482;  CANADIAN SYLLABICS NASKAPI KWAA;  146B;  15;  k;  <02B7>a<02D0>;  
1483;  CANADIAN SYLLABICS K;  146B;  16;  k;  
1484;  CANADIAN SYLLABICS KW;  146B;  16;  k;  <02B7>;  
1485;  CANADIAN SYLLABICS SOUTH-SLAVEY KEH;  146B;  1;  k;  e;  h;  
1486;  CANADIAN SYLLABICS SOUTH-SLAVEY KIH;  146B;  3;  k;  i;  h;  
1487;  CANADIAN SYLLABICS SOUTH-SLAVEY KOH;  146B;  5;  k;  o;  h;  
1488;  CANADIAN SYLLABICS SOUTH-SLAVEY KAH;  146B;  7;  k;  a;  h;  
1489;  CANADIAN SYLLABICS CE;  1489;  1;  c;  e;  
148A;  CANADIAN SYLLABICS CAAI;  1489;  2;  c;  aai;  
148B;  CANADIAN SYLLABICS CI;  1489;  3;  c;  i;  
148C;  CANADIAN SYLLABICS CII;  1489;  4;  c;  i<02D0>;  
148D;  CANADIAN SYLLABICS CO;  1489;  5;  c;  o;  
148E;  CANADIAN SYLLABICS COO;  1489;  6;  c;  o<02D0>;  
148F;  CANADIAN SYLLABICS Y-CREE COO;  1489;  6;  c;  o<02D0>;  
1490;  CANADIAN SYLLABICS CA;  1489;  7;  c;  a;  
1491;  CANADIAN SYLLABICS CAA;  1489;  8;  c;  a<02D0>;  
1492;  CANADIAN SYLLABICS CWE;  1489;  9;  c;  <02B7>e;  
1493;  CANADIAN SYLLABICS WEST-CREE CWE;  1489;  9;  c;  <02B7>e;  
1494;  CANADIAN SYLLABICS CWI;  1489;  10;  c;  <02B7>i;  
1495;  CANADIAN SYLLABICS WEST-CREE CWI;  1489;  10;  c;  <02B7>i;  
1496;  CANADIAN SYLLABICS CWII;  1489;  11;  c;  <02B7>i<02D0>;  
1497;  CANADIAN SYLLABICS WEST-CREE CWII;  1489;  11;  c;  <02B7>i<02D0>;  
1498;  CANADIAN SYLLABICS CWO;  1489;  12;  c;  <02B7>o;  
1499;  CANADIAN SYLLABICS WEST-CREE CWO;  1489;  12;  c;  <02B7>o;  
149A;  CANADIAN SYLLABICS CWOO;  1489;  13;  c;  <02B7>o<02D0>;  
149B;  CANADIAN SYLLABICS WEST-CREE CWOO;  1489;  13;  c;  <02B7>o<02D0>;  
149C;  CANADIAN SYLLABICS CWA;  1489;  14;  c;  <02B7>a;  
149D;  CANADIAN SYLLABICS WEST-CREE CWA;  1489;  14;  c;  <02B7>a;  
149E;  CANADIAN SYLLABICS CWAA;  1489;  15;  c;  <02B7>a<02D0>;  
149F;  CANADIAN SYLLABICS WEST-CREE CWAA;  1489;  15;  c;  <02B7>a<02D0>;  
14A0;  CANADIAN SYLLABICS NASKAPI CWAA;  1489;  15;  c;  <02B7>a<02D0>;  
14A1;  CANADIAN SYLLABICS C;  1489;  16;  c;  
14A2;  CANADIAN SYLLABICS SAYISI TH;  14A2;  16;  <0398>;  
14A3;  CANADIAN SYLLABICS ME;  14A3;  1;  m;  e;  
14A4;  CANADIAN SYLLABICS MAAI;  14A3;  2;  m;  aai;  
14A5;  CANADIAN SYLLABICS MI;  14A3;  3;  m;  i;  
14A6;  CANADIAN SYLLABICS MII;  14A3;  4;  m;  i<02D0>;  
14A7;  CANADIAN SYLLABICS MO;  14A3;  5;  m;  o;  
14A8;  CANADIAN SYLLABICS MOO;  14A3;  6;  m;  o<02D0>;  
14A9;  CANADIAN SYLLABICS Y-CREE MOO;  14A3;  6;  m;  o<02D0>;  
14AA;  CANADIAN SYLLABICS MA;  14A3;  7;  m;  a;  
14AB;  CANADIAN SYLLABICS MAA;  14A3;  8;  m;  a<02D0>;  
14AC;  CANADIAN SYLLABICS MWE;  14A3;  9;  m;  <02B7>e;  
14AD;  CANADIAN SYLLABICS WEST-CREE MWE;  14A3;  9;  m;  <02B7>e;  
14AE;  CANADIAN SYLLABICS MWI;  14A3;  10;  m;  <02B7>i;  
14AF;  CANADIAN SYLLABICS WEST-CREE MWI;  14A3;  10;  m;  <02B7>i;  
14B0;  CANADIAN SYLLABICS MWII;  14A3;  11;  m;  <02B7>i<02D0>;  
14B1;  CANADIAN SYLLABICS WEST-CREE MWII;  14A3;  11;  m;  <02B7>i<02D0>;  
14B2;  CANADIAN SYLLABICS MWO;  14A3;  12;  m;  <02B7>o;  
14B3;  CANADIAN SYLLABICS WEST-CREE MWO;  14A3;  12;  m;  <02B7>o;  
14B4;  CANADIAN SYLLABICS MWOO;  14A3;  13;  m;  <02B7>o<02D0>;  
14B5;  CANADIAN SYLLABICS WEST-CREE MWOO;  14A3;  13;  m;  <02B7>o<02D0>;  
14B6;  CANADIAN SYLLABICS MWA;  14A3;  14;  m;  <02B7>a;  
14B7;  CANADIAN SYLLABICS WEST-CREE MWA;  14A3;  14;  m;  <02B7>a;  
14B8;  CANADIAN SYLLABICS MWAA;  14A3;  15;  m;  <02B7>a<02D0>;  
14B9;  CANADIAN SYLLABICS WEST-CREE MWAA;  14A3;  15;  m;  <02B7>a<02D0>;  
14BA;  CANADIAN SYLLABICS NASKAPI MWAA;  14A3;  15;  m;  <02B7>a<02D0>;  
14BB;  CANADIAN SYLLABICS M;  14A3;  16;  m;  
14BC;  CANADIAN SYLLABICS WEST-CREE M;  14A3;  16;  m;  
14BD;  CANADIAN SYLLABICS MH;  14BD;  16;  mh;  
14BE;  CANADIAN SYLLABICS ATHAPASCAN M;  14BE;  16;  m;  
14BF;  CANADIAN SYLLABICS SAYISI M;  14BE;  16;  m;  
14C0;  CANADIAN SYLLABICS NE;  14C0;  1;  n;  e;  
14C1;  CANADIAN SYLLABICS NAAI;  14C0;  2;  n;  aai;  
14C2;  CANADIAN SYLLABICS NI;  14C0;  3;  n;  i;  
14C3;  CANADIAN SYLLABICS NII;  14C0;  4;  n;  i<02D0>;  
14C4;  CANADIAN SYLLABICS NO;  14C0;  5;  n;  o;  
14C5;  CANADIAN SYLLABICS NOO;  14C0;  6;  n;  o<02D0>;  
14C6;  CANADIAN SYLLABICS Y-CREE NOO;  14C0;  6;  n;  o<02D0>;  
14C7;  CANADIAN SYLLABICS NA;  14C0;  7;  n;  a;  
14C8;  CANADIAN SYLLABICS NAA;  14C0;  8;  n;  a<02D0>;  
14C9;  CANADIAN SYLLABICS NWE;  14C0;  9;  n;  <02B7>e;  
14CA;  CANADIAN SYLLABICS WEST-CREE NWE;  14C0;  9;  n;  <02B7>e;  
14CB;  CANADIAN SYLLABICS NWA;  14C0;  14;  n;  <02B7>a;  
14CC;  CANADIAN SYLLABICS WEST-CREE NWA;  14C0;  14;  n;  <02B7>a;  
14CD;  CANADIAN SYLLABICS NWAA;  14C0;  15;  n;  <02B7>a<02D0>;  
14CE;  CANADIAN SYLLABICS WEST-CREE NWAA;  14C0;  15;  n;  <02B7>a<02D0>;  
14CF;  CANADIAN SYLLABICS NASKAPI NWAA;  14C0;  15;  n;  <02B7>a<02D0>;  
14D0;  CANADIAN SYLLABICS N;  14C0;  16;  n;  
14D1;  CANADIAN SYLLABICS CARRIER NG;  14D1;  16;  <014B>;  
14D2;  CANADIAN SYLLABICS NH;  14D2;  16;  nh;  
14D3;  CANADIAN SYLLABICS LE;  14D3;  1;  l;  e;  
14D4;  CANADIAN SYLLABICS LAAI;  14D3;  2;  l;  aai;  
14D5;  CANADIAN SYLLABICS LI;  14D3;  3;  l;  i;  
14D6;  CANADIAN SYLLABICS LII;  14D3;  4;  l;  i<02D0>;  
14D7;  CANADIAN SYLLABICS LO;  14D3;  5;  l;  o;  
14D8;  CANADIAN SYLLABICS LOO;  14D3;  6;  l;  o<02D0>;  
14D9;  CANADIAN SYLLABICS Y-CREE LOO;  14D3;  6;  l;  o<02D0>;  
14DA;  CANADIAN SYLLABICS LA;  14D3;  7;  l;  a;  
14DB;  CANADIAN SYLLABICS LAA;  14D3;  8;  l;  a<02D0>;  
14DC;  CANADIAN SYLLABICS LWE;  14D3;  9;  l;  <02B7>e;  
14DD;  CANADIAN SYLLABICS WEST-CREE LWE;  14D3;  9;  l;  <02B7>e;  
14DE;  CANADIAN SYLLABICS LWI;  14D3;  10;  l;  <02B7>i;  
14DF;  CANADIAN SYLLABICS WEST-CREE LWI;  14D3;  10;  l;  <02B7>i;  
14E0;  CANADIAN SYLLABICS LWII;  14D3;  11;  l;  <02B7>i<02D0>;  
14E1;  CANADIAN SYLLABICS WEST-CREE LWII;  14D3;  11;  l;  <02B7>i<02D0>;  
14E2;  CANADIAN SYLLABICS LWO;  14D3;  12;  l;  <02B7>o;  
14E3;  CANADIAN SYLLABICS WEST-CREE LWO;  14D3;  12;  l;  <02B7>o;  
14E4;  CANADIAN SYLLABICS LWOO;  14D3;  13;  l;  <02B7>o<02D0>;  
14E5;  CANADIAN SYLLABICS WEST-CREE LWOO;  14D3;  13;  l;  <02B7>o<02D0>;  
14E6;  CANADIAN SYLLABICS LWA;  14D3;  14;  l;  <02B7>a;  
14E7;  CANADIAN SYLLABICS WEST-CREE LWA;  14D3;  14;  l;  <02B7>a;  
14E8;  CANADIAN SYLLABICS LWAA;  14D3;  15;  l;  <02B7>a<02D0>;  
14E9;  CANADIAN SYLLABICS WEST-CREE LWAA;  14D3;  15;  l;  <02B7>a<02D0>;  
14EA;  CANADIAN SYLLABICS L;  14D3;  16;  l;  
14EB;  CANADIAN SYLLABICS WEST-CREE L;  14D3;  16;  l;  
14EC;  CANADIAN SYLLABICS MEDIAL L;  14D3;  16;  l;  
14ED;  CANADIAN SYLLABICS SE;  14ED;  1;  s;  e;  
14EE;  CANADIAN SYLLABICS SAAI;  14ED;  2;  s;  aai;  
14EF;  CANADIAN SYLLABICS SI;  14ED;  3;  s;  i;  
14F0;  CANADIAN SYLLABICS SII;  14ED;  4;  s;  i<02D0>;  
14F1;  CANADIAN SYLLABICS SO;  14ED;  5;  s;  o;  
14F2;  CANADIAN SYLLABICS SOO;  14ED;  6;  s;  o<02D0>;  
14F3;  CANADIAN SYLLABICS Y-CREE SOO;  14ED;  6;  s;  o<02D0>;  
14F4;  CANADIAN SYLLABICS SA;  14ED;  7;  s;  a;  
14F5;  CANADIAN SYLLABICS SAA;  14ED;  8;  s;  a<02D0>;  
14F6;  CANADIAN SYLLABICS SWE;  14ED;  9;  s;  <02B7>e;  
14F7;  CANADIAN SYLLABICS WEST-CREE SWE;  14ED;  9;  s;  <02B7>e;  
14F8;  CANADIAN SYLLABICS SWI;  14ED;  10;  s;  <02B7>i;  
14F9;  CANADIAN SYLLABICS WEST-CREE SWI;  14ED;  10;  s;  <02B7>i;  
14FA;  CANADIAN SYLLABICS SWII;  14ED;  11;  s;  <02B7>i<02D0>;  
14FB;  CANADIAN SYLLABICS WEST-CREE SWII;  14ED;  11;  s;  <02B7>i<02D0>;  
14FC;  CANADIAN SYLLABICS SWO;  14ED;  12;  s;  <02B7>o;  
14FD;  CANADIAN SYLLABICS WEST-CREE SWO;  14ED;  12;  s;  <02B7>o;  
14FE;  CANADIAN SYLLABICS SWOO;  14ED;  13;  s;  <02B7>o<02D0>;  
14FF;  CANADIAN SYLLABICS WEST-CREE SWOO;  14ED;  13;  s;  <02B7>o<02D0>;  
1500;  CANADIAN SYLLABICS SWA;  14ED;  14;  s;  <02B7>a;  
1501;  CANADIAN SYLLABICS WEST-CREE SWA;  14ED;  14;  s;  <02B7>a;  
1502;  CANADIAN SYLLABICS SWAA;  14ED;  15;  s;  <02B7>a<02D0>;  
1503;  CANADIAN SYLLABICS WEST-CREE SWAA;  14ED;  15;  s;  <02B7>a<02D0>;  
1504;  CANADIAN SYLLABICS NASKAPI SWAA;  14ED;  15;  s;  <02B7>a<02D0>;  
1505;  CANADIAN SYLLABICS S;  14ED;  16;  s;  
1506;  CANADIAN SYLLABICS ATHAPASCAN S;  14ED;  16;  s;  
1507;  CANADIAN SYLLABICS SW;  14ED;  16;  s;  <02B7>;  
1508;  CANADIAN SYLLABICS BLACKFOOT S;  14ED;  16;  s;  
1509;  CANADIAN SYLLABICS MOOSE-CREE SK;  1509;  16;  sk;  
150A;  CANADIAN SYLLABICS NASKAPI SKW;  1509;  16;  sk;  
150B;  CANADIAN SYLLABICS NASKAPI S-W;  150B;  16;  s;  <02B7>;  
150C;  CANADIAN SYLLABICS NASKAPI SPWA;  150C;  14;  sp;  <02B7>a;  
150D;  CANADIAN SYLLABICS NASKAPI STWA;  150D;  14;  st;  <02B7>a;  
150E;  CANADIAN SYLLABICS NASKAPI SKWA;  150E;  14;  sk;  <02B7>a;  
150F;  CANADIAN SYLLABICS NASKAPI SCWA;  150F;  14;  sc;  <02B7>a;  
1510;  CANADIAN SYLLABICS SHE;  1510;  1;  <0283>;  e;  
1511;  CANADIAN SYLLABICS SHI;  1510;  3;  <0283>;  i;  
1512;  CANADIAN SYLLABICS SHII;  1510;  4;  <0283>;  i<02D0>;  
1513;  CANADIAN SYLLABICS SHO;  1510;  5;  <0283>;  o;  
1514;  CANADIAN SYLLABICS SHOO;  1510;  6;  <0283>;  o<02D0>;  
1515;  CANADIAN SYLLABICS SHA;  1510;  7;  <0283>;  a;  
1516;  CANADIAN SYLLABICS SHAA;  1510;  8;  <0283>;  a<02D0>;  
1517;  CANADIAN SYLLABICS SHWE;  1510;  9;  <0283>;  <02B7>e;  
1518;  CANADIAN SYLLABICS WEST-CREE SHWE;  1510;  9;  <0283>;  <02B7>e;  
1519;  CANADIAN SYLLABICS SHWI;  1510;  10;  <0283>;  <02B7>i;  
151A;  CANADIAN SYLLABICS WEST-CREE SHWI;  1510;  10;  <0283>;  <02B7>i;  
151B;  CANADIAN SYLLABICS SHWII;  1510;  11;  <0283>;  <02B7>i<02D0>;  
151C;  CANADIAN SYLLABICS WEST-CREE SHWII;  1510;  11;  <0283>;  <02B7>i<02D0>;  
151D;  CANADIAN SYLLABICS SHWO;  1510;  12;  <0283>;  <02B7>o;  
151E;  CANADIAN SYLLABICS WEST-CREE SHWO;  1510;  12;  <0283>;  <02B7>o;  
151F;  CANADIAN SYLLABICS SHWOO;  1510;  13;  <0283>;  <02B7>o<02D0>;  
1520;  CANADIAN SYLLABICS WEST-CREE SHWOO;  1510;  13;  <0283>;  <02B7>o<02D0>;  
1521;  CANADIAN SYLLABICS SHWA;  1510;  14;  <0283>;  <02B7>a;  
1522;  CANADIAN SYLLABICS WEST-CREE SHWA;  1510;  14;  <0283>;  <02B7>a;  
1523;  CANADIAN SYLLABICS SHWAA;  1510;  15;  <0283>;  <02B7>a<02D0>;  
1524;  CANADIAN SYLLABICS WEST-CREE SHWAA;  1510;  15;  <0283>;  <02B7>a<02D0>;  
1525;  CANADIAN SYLLABICS SH;  1510;  16;  <0283>;  
1526;  CANADIAN SYLLABICS YE;  1526;  1;  j;  e;  
1527;  CANADIAN SYLLABICS YAAI;  1526;  2;  j;  aai;  
1528;  CANADIAN SYLLABICS YI;  1526;  3;  j;  i;  
1529;  CANADIAN SYLLABICS YII;  1526;  4;  j;  i<02D0>;  
152A;  CANADIAN SYLLABICS YO;  1526;  5;  j;  o;  
152B;  CANADIAN SYLLABICS YOO;  1526;  6;  j;  o<02D0>;  
152C;  CANADIAN SYLLABICS Y-CREE YOO;  1526;  6;  j;  o<02D0>;  
152D;  CANADIAN SYLLABICS YA;  1526;  7;  j;  a;  
152E;  CANADIAN SYLLABICS YAA;  1526;  8;  j;  a<02D0>;  
152F;  CANADIAN SYLLABICS YWE;  1526;  9;  j;  <02B7>e;  
1530;  CANADIAN SYLLABICS WEST-CREE YWE;  1526;  9;  j;  <02B7>e;  
1531;  CANADIAN SYLLABICS YWI;  1526;  10;  j;  <02B7>i;  
1532;  CANADIAN SYLLABICS WEST-CREE YWI;  1526;  10;  j;  <02B7>i;  
1533;  CANADIAN SYLLABICS YWII;  1526;  11;  j;  <02B7>i<02D0>;  
1534;  CANADIAN SYLLABICS WEST-CREE YWII;  1526;  11;  j;  <02B7>i<02D0>;  
1535;  CANADIAN SYLLABICS YWO;  1526;  12;  j;  <02B7>o;  
1536;  CANADIAN SYLLABICS WEST-CREE YWO;  1526;  12;  j;  <02B7>o;  
1537;  CANADIAN SYLLABICS YWOO;  1526;  13;  j;  <02B7>o<02D0>;  
1538;  CANADIAN SYLLABICS WEST-CREE YWOO;  1526;  13;  j;  <02B7>o<02D0>;  
1539;  CANADIAN SYLLABICS YWA;  1526;  14;  j;  <02B7>a;  
153A;  CANADIAN SYLLABICS WEST-CREE YWA;  1526;  14;  j;  <02B7>a;  
153B;  CANADIAN SYLLABICS YWAA;  1526;  15;  j;  <02B7>a<02D0>;  
153C;  CANADIAN SYLLABICS WEST-CREE YWAA;  1526;  15;  j;  <02B7>a<02D0>;  
153D;  CANADIAN SYLLABICS NASKAPI YWAA;  1526;  15;  j;  <02B7>a<02D0>;  
153E;  CANADIAN SYLLABICS Y;  1526;  16;  j;  
153F;  CANADIAN SYLLABICS BIBLE-CREE Y;  1526;  16;  j;  
1540;  CANADIAN SYLLABICS WEST-CREE Y;  1526;  16;  j;  
1541;  CANADIAN SYLLABICS SAYISI YI;  1526;  3;  j;  i;  
1542;  CANADIAN SYLLABICS RE;  1542;  1;  r;  e;  
1543;  CANADIAN SYLLABICS R-CREE RE;  1542;  1;  r;  e;  
1544;  CANADIAN SYLLABICS WEST-CREE LE;  1544;  1;  l;  e;  
1545;  CANADIAN SYLLABICS RAAI;  1545;  2;  r;  aai;  
1546;  CANADIAN SYLLABICS RI;  1545;  3;  r;  i;  
1547;  CANADIAN SYLLABICS RII;  1545;  4;  r;  i<02D0>;  
1548;  CANADIAN SYLLABICS RO;  1545;  5;  r;  o;  
